type,type_title,type_flags,type_pro_training,name,distance,city,country,phone,state,street,zip,country_flag,email,logo_url,more_url,longitude,latitude,web_url,images
DC,,scubadiving,0,The Dive Shed,0,Busselton,AU,08 9841 7176 ,WA,21 Queen Street,6280,,info@diveshed.com.au,,,115.344147,-33.648178,http://www.diveshed.com.au,[]
DC,,scubadiving,0,The Dive Shop Hobart,0,Hobart,AU,03 6234 3428 ,TAS,241 Liverpool Street,7000,,thediveshophobart@bigpond.com,,,147.322782,-42.88498,http://www.thediveshophobart.com.au,[]
DC,,scubadiving,0,Underwater Sports & Dive,0,Holden Hill,AU,08 8263 3337 ,SA,9/2 Visor Ct,5088,,dive@underwatersports.com.au,,,138.679706,-34.845102,http://www.underwatersports.com.au,[]
DC,,mares_lab scubadiving,0,Mesra Rakan Enterprise,0,Ipoh,MY,05-5467839 ,Perak,"No.26, Jalan Hussin Nordin, Kg. Simee",31400,,moroafa95@gmail.com,,,101.099771,4.609982,,[]
DC,,scubadiving,0,AQUA MARINE(DAE-BANG BRANCH),0,SEOUL,KR,825-0373 ,,1F JE-AN B/D 411-6 DAE-BANG DONG DONGJACK-KU,0,,webmaster@scubain.com,,,126.928578,37.507054,http://www.scubain.co.kr,[]
DC,,scubadiving,0,AQUA MARINE(KANG-NAM BRANCH),0,SEOUL,KR,539-0496 ,,B1 HAE-AM B/D 983-3 DAECHI-DONG KANGNAM-KU,0,,webmaster@scubain.com,,,127.061053,37.499491,http://www.scubain.co.kr,[]
DC,,scubadiving,0,BSAC KOREA,0,SEOUL,KR,489-0180 ,,3F 555-13 SEONG-NEA DONG KANGDONG-KU,0,,bsac@bsac.co.kr,,,127.12854,37.532279,http://www.bsac.co.kr,[]
DC,,scubadiving,0,CAPTAIN DIVING,0,SEOUL,KR,825-1997~9 ,,2F DAEBANG SPORTS CENTER 401-9 DAE-BANG DONG DONGJACK-KU,0,,zzangdiver@hanmail.net,,,126.928578,37.507054,http://www.captaindive.co.kr,[]
DC,,scubadiving,0,"DAE WOONG SUITS CO., LTD.",0,SEOUL,KR,+82 2 5880970 ,,"1614-15, SEOCHO-1DONG SEOCHO-GU",0,,mares@mares.co.kr,,,127.019233,37.486797,http://www.mares.co.kr/,[]
DC,,scubadiving,0,DIVE LINE,0,SEOUL,KR,553-4296 ,,904-11 DAECHI-DONG KANGNAM-KU,0,,youline@hanamail.net,,,127.056314,37.502815,http://www.diveline.co.kr,[]
DC,,scubadiving,0,GUARDIAN SEALIFE,0,SEOUL,KR,474-4712 ,,P.O. Box 1649,0,,oribal@oribal.com,,,127.12854,37.532279,http://www.oribal.com,[]
DC,,scubadiving,0,JONGRO SPORTS,0,SEOUL,KR,2215-1234 ,,206 BATH RD,0,,sky15743@kornet.net,,,127.057475,37.570924,http://www.jonggosports.com,[]
DC,,scubadiving,0,LEISURE-CAMP,0,SEOUL,KR,812-4190 ,,212 YONG-HO 2 DONG NAM-KU,0,,ssi0242k@nate.com,,,126.928578,37.507054,http://www.leisure-camp.co.kr,[]
DC,,scubadiving,0,MERMAIDE & MARINE,0,SEOUL,KR,4242-270 ,,P§MARITIMO 98,0,,scuba@mnmscuba.co.kr,,,127.080277,37.513012,http://www.mnmscuba.co.kr,[]
DC,,scubadiving,0,NUDIBLUE,0,SEOUL,KR,3413-6267 ,,"PINTOR LAXEIRO, 16",0,,webmaster@nudiblue.com,,,127.064183,37.48196,http://www.nudiblue.com,[]
DC,,scubadiving,0,PARANSUM,0,SEOUL,KR,545-3912 ,,NO.103 SAMPHOONG PLAZA 1690-1 SEOCHO-DONG SEOCHO-KU,0,,webmaster@paransum.co.kr,,,127.019233,37.511284,http://www.paransum.co.kr,[]
DC,,scubadiving,0,Patima,0,SEOUL,KR,2246-0388 ,,Av. Hugo Simas - 1440 - Lj:01,0,,manpo388@hanmail.net,,,127.061677,37.580001,http://www.patimahousing.com,[]
DC,,scubadiving,0,PUREUNBADA(YANGJAE BRANCH),0,SEOUL,KR,579-7728 ,,66-14 GOI-JEONG DONG SEO-KU,0,,skinscubs01@skinscuba.net,,,127.03735,37.47327,http://www.skinscuba.net,[]
DC,,scubadiving,0,SAMWON SCUBA SCHOOL,0,SEOUL,KR,906-2156 ,,Tripoli,0,,webmaster@iskinscuba.co.kr,,,127.002453,37.635943,http://www.iskinscuba.co.kr,[]
DC,,scubadiving,0,SANHOSOOJOONG,0,SEOUL,KR,478-2663~6 ,,"Av. Getúlio Vargas, 2137",0,,ssd@ssd.co.kr,,,127.12854,37.532279,http://www.ssd.co.kr,[]
DC,,scubadiving,0,SCUBAZONE,0,SEOUL,KR,545-9513 ,,"20, RUE DE L'EUROPE",0,,scubazone0707@yahoo.co.kr,,,127.010508,37.515371,http://www.scubazonkorea.com,[]
DC,,scubadiving,0,SDD KOREA,0,SEOUL,KR,934-6967 ,,LOC.BARBAROSSA,0,,hq@sddi.org,,,127.080277,37.651313,http://www.sddi.org,[]
DC,,scubadiving,0,S-FREE,0,SEOUL,KR,539-6011 ,,"VIA ROMEA SUD, 117",0,,sfree@sfree.co.kr,,,127.064183,37.500425,http://www.sfree.co.kr,[]
DC,,scubadiving,0,SILVER SEA,0,SEOUL,KR,3273-2969 ,,1 Scott Road #03-17 Shaw Centre,0,,simplenage@empal.com,,,126.941344,37.542259,http://www.silversea.co.kr,[]
DC,,scubadiving,0,UNDERWATER,0,SEOUL,KR,3463-7155 ,,2025 SUFFOLK RD #1,0,,cmas113@korea.com,,,127.015877,37.467234,,[]
DC,,scubadiving,0,Dive HQ - Christchurch,0,Christchurch,NZ,0064 3 379 5804 ,,"103 Durham Street, Sydenham",8011,,accounts@diveandskiworld.com,,,172.633564,-43.543035,http://www.divehq.co.nz,[]
DC,,scubadiving,0,Kiwi Divers NZ,0,Silverdale,NZ,09 426 9834 ,,8 Keith Hay Court,932,,info@kiwiscubadivers.co.nz,,,174.67759,-36.617149,http://kiwiscubadivers.co.nz/,[]
DC,,scubadiving,0,Dive Now,0,Whangarei,NZ,0064 9 438 1075 ,,"41 Clyde St,",110,,info@divenow.co.nz,,,174.322275,-35.727717,https://divenow.co.nz/,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Zone Bay of Islands,0,Kerikeri Bay of Islands,NZ,0064 9 407 9986 ,,5 Klinac Lane Waipapa,295,,info@divehqboi.co.nz,,,174.164616,-35.18437,http://www.divehq.co.nz,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive HQ Westhaven,0,Auckland,NZ,0064 9 307 3590 ,,"Corner of Gaunt and Beaumont Streets, Westhaven",1010,,info@divehqwesthaven.co.nz,,,174.753423,-36.843995,http://www.divehq.co.nz,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Zone Whitianga,0,Whitianga,NZ,0064 7 867 1580 ,,7 Blacksmith Lane,3510,,darrell@divethecoromandel.co.nz,,,175.705057,-36.834607,http://www.divethecoromandel.co.nz/,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive and Ski HQ,0,Lower Hutt,NZ,0064 4 568 5028 ,,14 Waione Street,5012,,diveskihq@paradise.net.nz,,,174.891515,-41.232216,http://www.divehq.co.nz,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Big Blue Dive and Fish,0,Nelson,NZ,0064 3 546 7411 ,,Corner Akersten Street & Wildman Avenue,0,,bigbluedive@hotmail.co.nz,,,173.275607,-41.264151,http://www.bigbluenz.co.nz,[]
DC,,scubadiving,0,Sun and Snow,0,Dunedin,NZ,0064 3 477 2374 ,,249 Cumberland Street,9016,,sun.and.snow@xtra.co.nz,,,170.506473,-45.874996,http://www.sunandsnow.co.nz,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling horizon,0,The Dive Doctor,0,Auckland,NZ,(09) 530 8117 ,,20 R Sylvia Park Rd  Mt Wellington,2571,,dis.divedoc@gmail.com,,,174.834738,-36.923935,,[]
DC,,scubadiving,0,Air Technology,0,Auckland,NZ,0064 9  478 9995 ,,"5/20 Constellation Drive, Mairangi Bay ",0,,hasan@airtec.co.nz,,,174.7346,-36.746832,www.airtech.co.nz,[]
DC,,scubadiving,0,Scuba Venture,0,Ipoh,MY,016-4439733 ,Perak,"No. 35A, Jalan Medan Ipoh 3, Bandar Baru Medan Ipoh",31400,,info@scubaventure.com.my,,,101.119577,4.618239,http://www.scubaventure.com.my,[]
DC,,scubadiving,0,Dipblu Divers Sdn Bhd,0,Butterworth,MY,016-4950455 ,Penang,"1, Jalan Kemuning, Off Jalan Raja Uda",12300,,boonchan_1971@yahoo.com,,,100.382395,5.42667,,[]
DC,,scubadiving,0,Scuba Dynamic,0,Kuala Lumpur,MY,03-2300 1489 ,Kuala Lumpur,"No. 32-2, 2nd Floor, Jalan 27/70A, Desa Sri Hartamas",50480,,henry@scubadynamics.com.my,,,101.649218,3.162134,http://www.scubadynamics.com.my,[]
DC,,scubadiving,0,Bubble Gazers Resources,0,Petaling Jaya,MY,03-6148 2668 ,Selangor,"No. 12-3, Jalan PJU 5/5, Dataran Sunway, Kota Damansara",47810,,bubblegazers@gmail.com,,,101.592458,3.152607,http://www.bubblegazers.net,[]
DC,,mares_lab,0,MARES ASIA PACIFIC LIMITED,0,Hong Kong,HK,+852 3694 0855 ,,"RM 505 TINS ENTERPRISES CENTRE, 777 LAI CHI KOK, CHEUNG SHA WAN",0,,Info@hk.mares.com,,,114.153173,22.333815,http://www.mares.com/,[]
DC,,,0,RAINBOW RUNNER S/B,0,Ampang,MY,+603 4162 2837 / +603 4162 3837 ,Selangor,"5, Ukay Boulevard, Jln Lingkaran Tengah Dua",68000,,ops@rainbowrunner.net,,,101.766194,3.202992,http://www.rainbowrunner.net,[]
DC,,,0,Absolute Scuba Bali,0,Bali,ID,+ 361 730107 ,Bali,"Jl Panti Silayulkti Padang Bai, Amlapura Bali",0,,info@absolutescubabali.com,,,115.188916,-8.409518,www.absolutescubabali.com,[]
DC,,,0,Bali Breizh Divers,0,Sanur,ID,0062 0361 28 12 01 ,Bali,"Jalan N'gurah Rai By Pass no. 7, Sanur, Bali 80229",80229,,balibreizhdivers@gmail.com,,,115.258565,-8.678661,www.balibreizhdivers.com,[]
DC,,,0,Bali Bubble Dive Center,0,Candi Dasa/Karangasem,ID,0062 0361 92 30800 ,Bali,"Jalan Raya Candi Dasa, Candi Dasa, Karangasem, Bali 80871",80871,,info@bali-bubbles.com,,,115.609103,-8.439166,http://www.bali-bubbles.com,[]
DC,,,0,Bali Coral Dive and Marine Sport - Mola-Mola Dive Center,0,Nusa Dua - Bali,ID,+62 (0)361 773487 ,,Jl.Pratama Tanjung Benoa Jl. Segara Kidul no:2 Nusa Dua.Bali - Indonesia Tanjung Benoa. Nusa Dua 80363,80363,,molamoladivers@dps.centrin.net,,,115.220335,-8.758579,,[]
DC,,,0,BALI INTERNATIONAL DIVING PROFESSIONALS,0,Sanur,ID,+62 (0)361 285065 ,,Jl.Danau poso no.26.Sanur 80238. Bali - Indonesia Jl. Raya Kertadalem no.96. Sidakarya. Denpasar-Bali,80238,,info@bidp-balidiving.com,,,115.259634,-8.695061,http://www.bidp-balidiving.com/,[]
DC,,,0,Bali Mangoo Dive - Mega Dive,0,Puri-Gading-Jimbaran,ID,+62 (0) 817 9788005 ,Bali,jl.Dahlia Blok 1 No. 6/26,0,,megadive@indosat.net.id,,,115.159947,-8.790293,http://www.mega-dive.com,[]
DC,,,0,Blue Bay Divers,0,Bali,ID,+62 81 340 286000 ,Bali,Jl Sisingamangaraja no 77 Complex Asrama KPLP -Calaca,0,,info@bluebaydivers.de,,,115.188916,-8.409518,http://www.bluebaydivers.de,[]
DC,,,0,ENA DIVE CENTER & WATER SPORTS,0,Sanur,ID,0062 - 361 28 88 29 ,Bali,"Jalan Tirta Ening no. 1, Sanur, Bali 80227",80227,,enadive@dps.centrin.net.id,,,115.25564,-8.702943,www.enadive.co.id,[]
DC,,,0,Froggies Divers - Minahasa Divers,0,Manado,ID,+ 62 812 430 1356 ,Manado,PO Box 1520 Tasik Ria Manado,95351,,manado@divefroggies.com,,,124.841261,1.493056,http://www.minahasadivers.com,[]
DC,,,0,Grand Komodo,0,Sanur,ID,+0062 361 271 538 ,Bali,"Jalan By Pass Ngurah Rai 147x, Sanur, Bali",0,,alordive@telkom.net,,,115.25857,-8.6783,http://komodoalordive.com,[]
DC,,,0,Maluku Divers,0,Maluku,ID,"+ 62 911 323 216 , 911 323 882 ","Latuhalat, Ambon",Jl. Aman Lanite,97118,,info@unexploredadventures.com,,,128.166419,-3.65607,www.unexploredadventures.com,[]
DC,,,0,Nusantara Diving Center,0,Manado,ID,+ 62 431 863988/863992 ,Manado,Molas beach PO Box 1015,95242,,ndcmdo@indosat.net.id,,,124.841261,1.493056,http://www.ndcmanado.com,[]
DC,,,0,Trawangan Dive,0,Nusa Tenggara,ID,+ 62 370 370 49 220 ,,Jl. Raya Senggigi B2 Mataram,0,,info@trawangandive.com,,,116.051686,-8.501307,http://www.trawangandive.com,[]
DC,,,0,Borneo Dream Travel & Tours Sdn Bhd,0,Kota Kinabalu,MY,088-244064 ,Sabah,"F-G-1, Plaza Tanjung Aru, Jalan Mat Salleh",88100,,billy@borneodream.com,,,116.056606,5.952705,http://www.borneodream.com,[]
DC,,,0,MARES CHINA,0,SHANGHAI,CN, +86 13818612832 ,SHANGHAI,"ROOM 1902, YI FU Business Plaza, 1725 HUANG XING ROAD,YANG PU DISTRICT,",200433,,david@mareschina.com,,,121.524883,31.297467,,[]
DC,,mares_lab,0,Mares S.p.A. c/o HEAD Germany GmbH,0,Feldkirchen,DE,+49 (0)89 90 9995-61 ,Bayern,Velaskostraße 8,85622,,mares@de.mares.com,,,11.733527,48.151673,http://www.mares.com,[]
DC,,dc,0,EXPLORASUB DC,0,CARGESE,FR,06 11 01 19 54 ,CORSICA,Route du Port,20130,,info@explorasub.fr,,,8.594478,42.131526,http://www.explorasub.fr/explorasub/Explorasub.html,[]
DC,,dc,0,COSTA VERDE LOISIRS DC,0,SANTA MARIA POGGIO,FR,06 16 74 86 05 ,CORSICA,PORT TAVERNA,20221,,contact@costa-vrede-loisirs.fr,,,9.496391,42.345418,http://www.costa-verde-loisirs.fr,[]
DC,,dc,0,AQUA TERRESTRE ACTIVITES  DC,0,BIGUGLIA,FR,06 18 39 96 37 ,CORSICA,LOT N 22  LES JARDINS D'ORTALE,20620,,thierry.coulon@wanadoo.fr,,,9.430913,42.593331,,[]
DC,,mares_lab scubadiving,0,THALASSA IMMERSION  DC,0,VILLE DI PIERABUGNO,FR,06 11 11 54 00 ,20 - CORSE,NAPOLEON MARE VELLA,20200,,thalassa.immersion@free.fr,,,9.012893,42.039604,,[]
DC,,scubadiving,0,CHANTIERS NAVALS DE CALVI,0,LUMIO,FR,04 95 62 75 34 ,20 - CORSE,PORT DE SANT AMBROGGIO,20260,,cncalvi@wanadoo.fr,,,8.852584,42.608518,,[]
DC,,scubadiving,0,PLONGEE EVASION PROPRIANO DC,0,OLMETO,FR,04 95 76 23 83 ,20 - CORSE,RESIDENCE DU GOLFE DU VALINCO,20113,,infoplonger-en-corse@wanadoo.fr,,,9.012893,42.039604,,[]
DC,,scubadiving,0,L'UGHJATA,0,CALVI,FR,04 95 65 35 69 ,20 - CORSE,LA ROSERAIE II,20260,,ughjata@wanadoo.fr,,,9.012893,42.039604,,[]
DC,,dc,0,KALLISTE PLONGEE,0,PORTO VECCHIO,FR,06 35 29 35 71 ,CORSICA,PLAGE DE PALOMBAGGIA,20137,,info@lekalliste-plongee.corsica,,,9.325128,41.557886,http://www.lekalliste-plongee.corsica,[]
DC,,scubadiving,0,SERENA SPORTS,0,GHISONACCIA,FR,04 95 57 94 09 ,20 - CORSE,850 AVENUE DU 09 SEPTEMBRE,20240,,serenasport20240@yahoo.fr,,,9.012893,42.039604,,[]
DC,,scubadiving,0,SPORT ET MODE,0,AJACCIO,FR,04 95 27 21 94 ,20 - CORSE,6 RUE DES CHARRONS,20000,,sport.et.mode@orange.fr,,,8.738627,41.923416,,[]
DC,,scubadiving,0,Centre de plongée VoceMare Diving,0,Ajaccio,FR,0495520937 / 0664410122 ,Corsica,"Hôtel Stella di Mare, Route des Sanguinaires",20000,,contact@vocemare-diving.com,,,8.659758,41.90753,http://www.vocemare-diving.com,[]
DC,,scubadiving,0,NOUVELLES GALERIES,0,CARGESE,FR,04 95 26 44 07 ,20 - CORSE,RUE DE LA REPUBLIQUE,20130,,nicoleca@club-internet.fr,,,8.596975,42.134295,,[]
DC,,scubadiving,0,CAPI CORSU T S M  DC,0,MACINAGGIO,FR,06 85 75 17 06 ,20 - CORSE,ROGLIANO -  PORT DE PLAISANCE,20248,,scaph2000@aol.com,,,9.452226,42.956124,,[]
DC,,scubadiving,0,LUCIANI  SPORTS / INTERSPORT,0,AJACCIO,FR,04 95 21 22 01 ,20 - CORSE,43 COURS NAPOLEON,20000,,lucianisport@wanadoo.fr,,,8.737614,41.923521,,[]
DC,,mares_lab scubadiving,0,BELUGA DIVING DC,0,ILE ROUSSE,FR,04 95 60 17 36 ,20 - CORSE,PORT DE PLAISANCE,20220,,info@beluga-diving.com,,,9.012893,42.039604,,[]
DC,,mares_lab scubadiving,0,PIANOTTOLI DIVING DC,0,PIANOTTOLI CALDARELLO,FR,06 01 78 15 14 ,20 - CORSE,HOTEL U LIBECCIU - ROUTE DU PORT,20131,,contact@pianottoli-diving.com,,,9.012893,42.039604,http://www.pianottoli-diving.com/,[]
DC,,scubadiving,0,HIPPOCAMPE,0,PORTO-VECCHIO,FR,04 95 70 56 54 ,20 - CORSE,CLUB LA CHIAPPA,20137,,dive@hippocampe.de,,,9.012893,42.039604,http://www.hippocampe.de/,[]
DC,,scubadiving,0,LE SQUALE PLONGEE,0,APPIETTO,FR,06 09 72 69 77 ,20 - CORSE,GOLFE DE LAVA,20167,,squaleplongee@online.fr,,,9.012893,42.039604,,[]
DC,,scubadiving,0,LEADER BOAT SARL,0,PORTO VECCHIO,FR,04 95 72 03 61 ,20 - CORSE,ROUTE DE PALOMBAGGIA,20137,,leaderboat@wanadoo.fr,,,9.012893,42.039604,,[]
DC,,mares_lab scubadiving horizon,0,LA PALANQUEE NEW'S,0,PALAVAS LES FLOTS,FR,04 67 68 04 10 ,,AVENUE FREDERIC FABREGES,34250,,direction@palanquee.com,,,3.925906,43.528431,,[]
DC,,mares_lab scubadiving,0,AU VIEUX PLONGEUR,0,MARSEILLE,FR,04 91 48 79 48 ,,"42, RUE DU ROUET",13006,,info@vieuxplongeur.com,,,5.385981,43.283765,,[]
DC,,mares_lab scubadiving,0,SUB ODYSSEE,0,LYON,FR,+33 4 72 07 93 73 ,,20 QUAI PERRACHE,69002,,cyrille@sub-odyssee.com,,,4.826386,45.744321,https://www.sub-odyssee.com/,[]
DC,,mares_lab scubadiving,0,BLEU MARINE LOISIRS,0,CAISSARGUES,FR,04 66 38 94 98 ,,120 ROUTE DE NIMES,30132,,sylvie@bleumarineloisirs.com,,,4.380185,43.786605,,[]
DC,,scubadiving,0,NOOTICA,0,VALLAURIS,FR,497100038,,181 Chemin du Puissanton,6700,,facturation@nootica.fr,,,7.058247,43.591376,,[]
DC,,mares_lab scubadiving,0,MIO PALMO,0,MAUGUIO,FR,04 67 20 12 11 ,,"445, RUE H. BOUCHER",34130,,info@miopalmo.fr,,,3.943975,43.580051,,[]
DC,,mares_lab scubadiving,0,ATELIER DE LA MER,0,MARSEILLE,FR,04 91 72 54 12 ,,PORT DE LA POINTE ENTREE N.2,13008,,contact@atelierdelamer.com,,,5.369207,43.244142,,[]
DC,,mares_lab scubadiving,0,SUB MARINE,0,NICE,FR,04 93 89 84 63 ,,"4, RUE DU BEAL",6300,,subnice@wanadoo.fr,,,7.28841,43.701155,,[]
DC,,scubadiving,0,CABESTO OLLIOULES,0,OLLIOULES,FR,04 98 07 02 40 ,,CENTRE COMMERCIAL CARREFOUR,83190,,sylvain.mizzi@cabesto.com,,,5.847652,43.139901,,[]
DC,,scubadiving,0,HALL NAUTIQUE,0,CAVALAIRE,FR,04 94 64 03 38 ,,96 PROMENADE DU PORT,83240,,hallnautique@orange.fr,,,6.52211,43.183501,,[]
DC,,mares_lab scubadiving,0,DOC PLONGEE,0,MARSEILLE,FR,04 91 72 39 34 ,,35 AVENUE POINTE ROUGE,13008,,info@docplongee.com,,,5.374801,43.247748,,[]
DC,,scubadiving,0,LA PALANQUEE,0,ST. TROPEZ,FR,04 94 97 41 41 ,,"34, BD LOIS BLANC",83990,,lapalanquee@orange.fr,,,6.637027,43.269611,,[]
DC,,scubadiving,0,BLEU MARIN,0,LE LAVANDOU,FR,04 94 71 42 48 ,,QUAI BAPTISTIN PINS,83980,,bleu-marin@wanadoo.fr,,,6.373028,43.137974,,[]
DC,,scubadiving,0,COTE BLEUE PLONGEE SARL,0,SAUSSET LES PINS,FR,04 42 45 42 42 ,,LES MARINES DU PORT,13960,,bleue.diving@wanadoo.fr,,,5.11057,43.332412,,[]
DC,,scubadiving,0,AU DELA PLONGEE SARL,0,LE ROVE,FR,04 91 46 87 31 ,,"5, ALLEE DES GIRELLES",13740,,mail@audelaplongee.com,,,5.260512,43.342018,,[]
DC,,scubadiving,0,SAINT MANDRIER PLONGEE,0,ST MANDRIER SUR MER,FR,04 94 63 66 07 ,,IMMEUBLE NAVIPARK QUAI SEVERINE,83430,,info@saint-mandrier-plongee.com,,,5.92183,43.080956,,[]
DC,,mares_lab scubadiving,0,FADIS DIVING VERSAILLES,0,VERSAILLES,FR,01 39 51 39 48 ,,19 RUE DE LA BONNE AVENTURE,78000,,versailles@fadis-diving.fr,,,2.146024,48.806168,http://www.fadis-diving.fr/,[]
DC,,mares_lab scubadiving,0,AQUAPHIL PLONGEE,0,St. Quentin,FR,03 23 60 20 72 ,,5 place du 8 Octobre,21000,,aquaphilplongee02@gmail.com,,,3.295018,49.842477,http://www.aquaphilplongee.com/,[]
DC,,mares_lab scubadiving,0,PLONGEE SERVICES,0,LA CHAUSEE SAINT VICTOR,FR,02 54 55 06 88 ,,46 D RN 152,41260,,plongee.service41@wanadoo.fr,,,1.354508,47.607824,,[]
DC,,mares_lab scubadiving,0,LA BULLE,0,ANGERS,FR,02 41 20 07 06 ,,22 BOULEVARD GASTON BIRGE,49100,,sam@labulle49.com,,,-0.521258,47.478467,,[]
DC,,mares_lab scubadiving,0,LA PLONGEE,0,SAINT BENOIT,FR,05 49 45 06 26 ,,123 ROUTE DE POITIERS,86280,,loisir@plonge.com,,,0.343047,46.561534,http://www.plonge.com/,[]
DC,,mares_lab scubadiving,0,SUB LA ROCHELLE,0,LA ROCHELLE,FR,05 46 44 77 88 ,,"Rue de la Perruche, ZA du Bout Blanc",17000,,sublarochelle@live.fr,,,-1.158805,46.148295,,[]
DC,,mares_lab scubadiving,0,PERROS PLONGEE,0,PERROS-GUIREC,FR,02 96 23 22 13 ,,"1, BD. A. BRIAND",22700,,perros-plongee@orange.fr,,,-3.446426,48.814942,,[]
DC,,mares_lab scubadiving,0,BIGATA DIVING,0,MERIGNAC,FR,05 57 21 59 35 ,,8 Av. du Meilleur Ouvrier de France,33700,,scubatoll.diving@gmail.com,,,-0.67282,44.838377,https://bigata.fr/,[]
DC,,mares_lab scubadiving,0,SARL KENKIZ MARINE,0,BELZ,FR,02 97 55 33 55 ,,Z.A. DES 4 CHEMINS,56550,,plongee@kenkiz-marine.fr,,,-3.168706,47.67587,,[]
DC,,mares_lab dc,0,PLANETE PLONGEE,0,JOUE LES TOURS,FR,06 85 45 38 73 ,,101 ROUTE DE LA VIEILLE CARTE,37300,,alain.dive@planete-plongee.fr,,,0.634712,47.331384,http://www.planete-plongee.fr,[]
DC,,dc,0,PITON PLONGEE DC,0,DESHAIES,GP,00 590 (0) 690 34 32 81 ,,La Marina du Bourg,97126,,aventure.piton.plongee@gmail.com,,,-61.794473,16.306824,https://www.piton-plongee.com/,[]
DC,,dc,0,PISQUETTE CLUB DE PLONGEE,0,Terre-De-Haut,GP,00 590 (0) 690 46 29 19 ,,Rue Jean Calot - Les Saintes,97137,,plongee@pisquette.com,,,-61.582107,15.86895,http://www.pisquettes.com/,[]
